, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
0,443,60952533,18,16,2566,6005,583,0,142.5555556,227.9376133,1460,2,375.3125,517.6383189,140.617618,0.557811109,1847046.455,3863890.208,10000000,1,61000000,3585443.118,4886197.96,10100000,5219,60800000,4056626.933,5034378.907,10100000,47,0,0,0,0,372,324,0.295311763,0.262499345,0,1460,244.8857143,399.3789128,159503.516,0,0,0,1,0,0,0,0,0,252.0882353,142.5555556,375.3125,372,0,0,0,0,0,0,18,2566,16,6005,8192,34397,17,20,242359.8333,341841.0925,940140,102689,9916364.333,195934.8995,10000000,9519245,0
1,4273,3,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,333333.3333,333333.3333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,1255,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
2,53,24346,2,2,74,190,37,37,37.0,0.0,95,95,95.0,0.0,10843.67042,164.2980366,8115.333333,14050.10748,24339,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,82.14901832,82.14901832,37,95,60.2,31.76790834,1009.2,0,0,0,0,0,0,0,0,1,75.25,37.0,95.0,40,0,0,0,0,0,0,2,74,2,190,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
3,53,47545,1,1,56,117,56,56,56.0,0.0,117,117,117.0,0.0,3638.658113,42.06541172,47545.0,0.0,47545,47545,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,21.03270586,21.03270586,56,117,76.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1,114.5,56.0,117.0,32,0,0,0,0,0,0,1,56,1,117,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
4,21,227,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,61674.00881,13215.85903,113.5,96.87362902,182,45,227,227.0,0.0,227,227,0,0.0,0.0,0,0,1,0,0,0,64,20,8810.572687,4405.286344,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
5,21,8533011,9,15,104,188,21,0,11.55555556,9.139353247,34,0,12.53333333,14.54975045,34.22004261,2.812606242,371000.4783,963086.686,2992315,4,5819357,727419.625,1346379.21,3035823,4,8532922,609494.4286,1188761.557,2992315,45,0,0,0,0,296,488,1.054727341,1.757878901,0,34,11.68,12.54897074,157.4766667,0,0,0,1,0,0,0,0,1,12.16666667,11.55555556,12.53333333,296,0,0,0,0,0,0,9,104,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
6,22,10577221,25,32,2008,2745,640,0,80.32,132.7550125,976,0,85.78125,220.240592,449.3618882,5.388939117,188878.9464,536850.2778,2552372,4,9097587,379066.125,763309.6808,2606343,236,10600000,341196.4194,689140.2812,2552372,4,0,0,0,0,808,1032,2.363569788,3.025369329,0,976,81.94827586,184.19616,33928.22535,0,0,0,1,0,0,0,0,1,83.38596491,80.32,85.78125,808,0,0,0,0,0,0,25,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,2
7,21,250,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,56000.0,12000.0,125.0,57.98275606,166,84,250,250.0,0.0,250,250,0,0.0,0.0,0,0,1,0,0,0,64,20,8000.0,4000.0,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
8,8080,73494,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4639.834544,95.24587041,12249.0,29023.59083,71490,40,73494,24498.0,41817.22682,72783,40,72085,36042.5,50130.33525,71490,595,0,0,0,0,92,72,54.42621166,40.81965875,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
9,21,3,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
10,88,11864,2,2,500,2860,250,250,250.0,0.0,1430,1430,1430.0,0.0,283209.71,337.1544167,3954.666667,6843.621434,11857,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,168.5772084,168.5772084,250,1430,722.0,646.3126179,417720.0,0,0,0,0,0,0,0,0,1,902.5,250.0,1430.0,64,0,0,0,0,0,0,2,500,2,2860,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
11,53,194,2,2,82,254,41,41,41.0,0.0,127,127,127.0,0.0,1731958.763,20618.5567,64.66666667,105.9449543,187,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,10309.27835,10309.27835,41,127,75.4,47.10413995,2218.8,0,0,0,0,0,0,0,0,1,94.25,41.0,127.0,64,0,0,0,0,0,0,2,82,2,254,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
12,52568,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.6667,0.0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,30016,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
13,16209,92,1,3,6,18,6,6,6.0,0.0,6,6,6.0,0.0,260869.5652,43478.26087,30.66666667,46.19884558,84,3,0,0.0,0.0,0,0,87,43.5,57.27564928,84,3,0,0,0,0,20,60,10869.56522,32608.69565,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,3,7.5,6.0,6.0,20,0,0,0,0,0,0,1,6,3,18,256,389,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
14,22,47,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,42553.19149,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,21276.59574,21276.59574,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,2
15,53,24041,2,2,166,328,83,83,83.0,0.0,164,164,164.0,0.0,20548.23011,166.38243,8013.666667,13835.06362,23989,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,40,40,83.19121501,83.19121501,83,164,115.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,144.25,83.0,164.0,40,0,0,0,0,0,0,2,166,2,328,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
16,21,247,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,56680.16194,12145.74899,123.5,57.27564928,164,83,247,247.0,0.0,247,247,0,0.0,0.0,0,0,1,0,0,0,64,20,8097.165992,4048.582996,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
17,53,46701,1,1,61,111,61,61,61.0,0.0,111,111,111.0,0.0,3683.004647,42.82563543,46701.0,0.0,46701,46701,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,21.41281771,21.41281771,61,111,77.66666667,28.86751346,833.3333333,0,0,0,0,0,0,0,0,1,116.5,61.0,111.0,20,0,0,0,0,0,0,1,61,1,111,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
18,22,11656202,22,33,2008,2745,640,0,91.27272727,138.1821372,976,0,83.18181818,217.2857356,407.7657542,4.71851809,215855.5926,592446.3211,2316246,3,9293734,442558.7619,796308.5755,2300512,3,11700000,364253.8125,737959.1581,2316246,3,0,0,0,0,712,1064,1.887407236,2.831110854,0,976,84.875,186.8396554,34909.05682,0,0,0,1,0,0,0,0,1,86.41818182,91.27272727,83.18181818,712,0,0,0,0,0,0,22,2008,33,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,2
19,22,98,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20408.16327,98.0,0.0,98,98,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10204.08163,10204.08163,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,2
20,21,9082530,9,15,110,188,26,0,12.22222222,10.05954494,34,0,12.53333333,14.54975045,32.8102412,2.642435533,394892.6087,1021375.059,3112838,3,6098816,762352.0,1402077.404,3157245,4,9082417,648744.0714,1260195.723,3112838,3,0,0,0,0,296,488,0.990913325,1.651522208,0,34,11.92,12.78319209,163.41,0,0,0,1,0,0,0,0,1,12.41666667,12.22222222,12.53333333,296,0,0,0,0,0,0,9,110,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
21,21,3,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
22,21,8924262,9,15,114,188,30,0,12.66666667,10.80509139,34,0,12.53333333,14.54975045,33.84033324,2.689298006,388011.3913,1008722.346,3116841,3,5765277,720659.625,1334479.811,3005501,4,8924184,637441.7143,1245288.758,3116841,3,0,0,0,0,296,488,1.008486752,1.680811254,0,34,12.08,12.99012445,168.7433333,0,0,0,1,0,0,0,0,1,12.58333333,12.66666667,12.53333333,296,0,0,0,0,0,0,9,114,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
23,21,8829783,9,15,104,188,23,0,11.55555556,9.193898943,34,0,12.53333333,14.54975045,33.06989538,2.718073593,383903.6087,980150.2496,3068773,3,5960166,745020.75,1342045.058,3112940,3,8829718,630694.1429,1207558.505,3068773,3,0,0,0,0,296,488,1.019277597,1.698795995,0,34,11.68,12.56224502,157.81,0,0,0,1,0,0,0,0,1,12.16666667,11.55555556,12.53333333,296,0,0,0,0,0,0,9,104,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
24,21,9279408,9,15,108,188,24,0,12.0,9.733961167,34,0,12.53333333,14.54975045,31.89858663,2.586371889,403452.5217,1049189.064,3261176,3,6222417,777802.125,1442203.228,3304139,3,9279304,662807.4286,1295290.969,3261176,3,0,0,0,0,296,488,0.969889458,1.616482431,0,34,11.84,12.69737506,161.2233333,0,0,0,1,0,0,0,0,1,12.33333333,12.0,12.53333333,296,0,0,0,0,0,0,9,108,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
25,21,8501873,9,15,101,188,21,0,11.22222222,8.786036902,34,0,12.53333333,14.54975045,33.99250965,2.822907376,369646.6522,962463.1584,3106207,3,5353628,669203.5,1239103.638,2806366,48,8501719,607265.6429,1188386.168,3106207,3,0,0,0,0,296,488,1.058590266,1.76431711,0,34,11.56,12.46688948,155.4233333,0,0,0,1,0,0,0,0,1,12.04166667,11.22222222,12.53333333,296,0,0,0,0,0,0,9,101,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
26,22,55,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18181.81818,18181.81818,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,2
27,21,9136976,9,15,105,188,24,0,11.66666667,9.354143467,34,0,12.53333333,14.54975045,32.06750242,2.626689618,397259.8261,1023940.262,3168612,3,5925031,740628.875,1350552.854,3053408,3,9136883,652634.5,1262869.928,3168612,3,0,0,0,0,296,488,0.985008607,1.641681011,0,34,11.72,12.60132268,158.7933333,0,0,0,1,0,0,0,0,1,12.20833333,11.66666667,12.53333333,296,0,0,0,0,0,0,9,105,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
28,22,67,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29850.74627,67.0,0.0,67,67,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14925.37313,14925.37313,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,2
29,22,77,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25974.02597,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12987.01299,12987.01299,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,2
30,8080,1000638,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,17.98852332,5.996174441,200127.6,273177.9093,499393,543,1000095,500047.5,20.50609665,500062,500033,999941,499970.5,48.7903679,500005,499936,0,0,0,0,92,60,2.99808722,2.99808722,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,1
31,53,254,2,2,102,306,51,51,51.0,0.0,153,153,153.0,0.0,1606299.213,15748.0315,84.66666667,140.5856797,247,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,7874.015748,7874.015748,51,153,91.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,114.75,51.0,153.0,40,0,0,0,0,0,0,2,102,2,306,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
32,51732,194,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15463.91753,97.0,131.5218613,190,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,32,10309.27835,5154.639175,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,122,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
33,51593,21,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,571428.5714,95238.09524,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,47619.04762,47619.04762,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
34,443,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
35,53,245,2,2,68,580,34,34,34.0,0.0,290,290,290.0,0.0,2644897.959,16326.53061,81.66666667,136.2546635,239,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,8163.265306,8163.265306,34,290,136.4,140.2169747,19660.8,0,0,0,0,0,0,0,0,1,170.5,34.0,290.0,40,0,0,0,0,0,0,2,68,2,580,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
36,50814,49,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,632653.0612,40816.32653,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,1,0,0,0,64,0,40816.32653,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,63,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
37,53,185,2,2,70,250,35,35,35.0,0.0,125,125,125.0,0.0,1729729.73,21621.62162,61.66666667,65.91914239,133,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,88,88,10810.81081,10810.81081,35,125,71.0,49.29503018,2430.0,0,0,0,0,0,0,0,0,1,88.75,35.0,125.0,88,0,0,0,0,0,0,2,70,2,250,-1,-1,1,44,0.0,0.0,0,0,0.0,0.0,0,0,0
38,22,11223934,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,423.4700596,4.722052001,215844.8846,585177.9793,2114854,4,9969316,498465.8,872903.7779,2184675,385,11200000,362059.3871,726307.3128,2114854,4,0,0,0,0,680,1032,1.871001736,2.851050265,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,2
39,53,268,2,2,82,254,41,41,41.0,0.0,127,127,127.0,0.0,1253731.343,14925.37313,89.33333333,113.5796343,218,3,3,3.0,0.0,3,3,47,47.0,0.0,47,47,0,0,0,0,64,64,7462.686567,7462.686567,41,127,75.4,47.10413995,2218.8,0,0,0,0,0,0,0,0,1,94.25,41.0,127.0,64,0,0,0,0,0,0,2,82,2,254,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
40,22,11310987,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,420.2108976,4.685709567,217518.9808,593383.9391,2479014,4,9634660,481733.0,864293.5463,2523052,507,11300000,364867.0968,736966.8642,2479014,4,0,0,0,0,680,1032,1.856601904,2.829107663,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,2
41,53,50881,2,2,96,180,48,48,48.0,0.0,90,90,90.0,0.0,5424.42169,78.6148071,16960.33333,29372.69496,50877,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,64,64,39.30740355,39.30740355,48,90,64.8,23.00434742,529.2,0,0,0,0,0,0,0,0,1,81.0,48.0,90.0,64,0,0,0,0,0,0,2,96,2,180,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
