, Destination Port, Flow Duration,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Mean,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Max, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward
0,443,60952533,2566,583,142.5555556,227.9376133,375.3125,140.617618,0.557811109,1847046.455,10000000,372,324,0.262499345,1460,244.8857143,399.3789128,159503.516,252.0882353,142.5555556,375.3125,372,2566,8192,34397
1,4273,3,6,6,6.0,0.0,6.0,4000000.0,666666.6667,3.0,3,20,20,333333.3333,6,6.0,0.0,0.0,9.0,6.0,6.0,20,6,1255,256
2,53,24346,74,37,37.0,0.0,95.0,10843.67042,164.2980366,8115.333333,24339,40,40,82.14901832,95,60.2,31.76790834,1009.2,75.25,37.0,95.0,40,74,-1,-1
3,53,47545,56,56,56.0,0.0,117.0,3638.658113,42.06541172,47545.0,47545,32,32,21.03270586,117,76.33333333,35.21836642,1240.333333,114.5,56.0,117.0,32,56,-1,-1
4,21,227,14,14,7.0,9.899494937,0.0,61674.00881,13215.85903,113.5,182,64,20,4405.286344,14,7.0,8.082903769,65.33333333,9.333333333,7.0,0.0,64,14,229,0
5,21,8533011,104,21,11.55555556,9.139353247,12.53333333,34.22004261,2.812606242,371000.4783,2992315,296,488,1.757878901,34,11.68,12.54897074,157.4766667,12.16666667,11.55555556,12.53333333,296,104,29200,227
6,22,10577221,2008,640,80.32,132.7550125,85.78125,449.3618882,5.388939117,188878.9464,2552372,808,1032,3.025369329,976,81.94827586,184.19616,33928.22535,83.38596491,80.32,85.78125,808,2008,29200,247
7,21,250,14,14,7.0,9.899494937,0.0,56000.0,12000.0,125.0,166,64,20,4000.0,14,7.0,8.082903769,65.33333333,9.333333333,7.0,0.0,64,14,229,0
8,8080,73494,207,195,51.75,95.54187564,44.66666667,4639.834544,95.24587041,12249.0,71490,92,72,40.81965875,195,42.625,75.57576615,5711.696429,48.71428571,51.75,44.66666667,92,207,8192,237
9,21,3,14,14,7.0,9.899494937,0.0,4666666.667,666666.6667,3.0,3,64,0,0.0,14,9.333333333,8.082903769,65.33333333,14.0,7.0,0.0,64,14,229,-1
10,88,11864,500,250,250.0,0.0,1430.0,283209.71,337.1544167,3954.666667,11857,64,64,168.5772084,1430,722.0,646.3126179,417720.0,902.5,250.0,1430.0,64,500,-1,-1
11,53,194,82,41,41.0,0.0,127.0,1731958.763,20618.5567,64.66666667,187,64,64,10309.27835,127,75.4,47.10413995,2218.8,94.25,41.0,127.0,64,82,-1,-1
12,52568,3,37,31,18.5,17.67766953,0.0,12300000.0,666666.6667,3.0,3,40,0,0.0,31,22.66666667,14.43375673,208.3333333,34.0,18.5,0.0,40,37,30016,-1
13,16209,92,6,6,6.0,0.0,6.0,260869.5652,43478.26087,30.66666667,84,20,60,32608.69565,6,6.0,0.0,0.0,7.5,6.0,6.0,20,6,256,389
14,22,47,0,0,0.0,0.0,0.0,0.0,42553.19149,47.0,47,32,32,21276.59574,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,259,247
15,53,24041,166,83,83.0,0.0,164.0,20548.23011,166.38243,8013.666667,23989,40,40,83.19121501,164,115.4,44.36552716,1968.3,144.25,83.0,164.0,40,166,-1,-1
16,21,247,14,14,7.0,9.899494937,0.0,56680.16194,12145.74899,123.5,164,64,20,4048.582996,14,7.0,8.082903769,65.33333333,9.333333333,7.0,0.0,64,14,229,0
17,53,46701,61,61,61.0,0.0,111.0,3683.004647,42.82563543,46701.0,46701,20,32,21.41281771,111,77.66666667,28.86751346,833.3333333,116.5,61.0,111.0,20,61,-1,-1
18,22,11656202,2008,640,91.27272727,138.1821372,83.18181818,407.7657542,4.71851809,215855.5926,2316246,712,1064,2.831110854,976,84.875,186.8396554,34909.05682,86.41818182,91.27272727,83.18181818,712,2008,29200,247
19,22,98,0,0,0.0,0.0,0.0,0.0,20408.16327,98.0,98,32,32,10204.08163,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,259,247
20,21,9082530,110,26,12.22222222,10.05954494,12.53333333,32.8102412,2.642435533,394892.6087,3112838,296,488,1.651522208,34,11.92,12.78319209,163.41,12.41666667,12.22222222,12.53333333,296,110,29200,227
21,21,3,14,14,7.0,9.899494937,0.0,4666666.667,666666.6667,3.0,3,64,0,0.0,14,9.333333333,8.082903769,65.33333333,14.0,7.0,0.0,64,14,229,-1
22,21,8924262,114,30,12.66666667,10.80509139,12.53333333,33.84033324,2.689298006,388011.3913,3116841,296,488,1.680811254,34,12.08,12.99012445,168.7433333,12.58333333,12.66666667,12.53333333,296,114,29200,227
23,21,8829783,104,23,11.55555556,9.193898943,12.53333333,33.06989538,2.718073593,383903.6087,3068773,296,488,1.698795995,34,11.68,12.56224502,157.81,12.16666667,11.55555556,12.53333333,296,104,29200,227
24,21,9279408,108,24,12.0,9.733961167,12.53333333,31.89858663,2.586371889,403452.5217,3261176,296,488,1.616482431,34,11.84,12.69737506,161.2233333,12.33333333,12.0,12.53333333,296,108,29200,227
25,21,8501873,101,21,11.22222222,8.786036902,12.53333333,33.99250965,2.822907376,369646.6522,3106207,296,488,1.76431711,34,11.56,12.46688948,155.4233333,12.04166667,11.22222222,12.53333333,296,101,29200,227
26,22,55,0,0,0.0,0.0,0.0,0.0,36363.63636,55.0,55,32,32,18181.81818,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,259,247
27,21,9136976,105,24,11.66666667,9.354143467,12.53333333,32.06750242,2.626689618,397259.8261,3168612,296,488,1.641681011,34,11.72,12.60132268,158.7933333,12.20833333,11.66666667,12.53333333,296,105,29200,227
28,22,67,0,0,0.0,0.0,0.0,0.0,29850.74627,67.0,67,32,32,14925.37313,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,259,247
29,22,77,0,0,0.0,0.0,0.0,0.0,25974.02597,77.0,77,32,32,12987.01299,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,259,247
30,8080,1000638,0,0,0.0,0.0,6.0,17.98852332,5.996174441,200127.6,499393,92,60,2.99808722,6,2.571428571,3.207134903,10.28571429,3.0,0.0,6.0,92,0,8192,0
31,53,254,102,51,51.0,0.0,153.0,1606299.213,15748.0315,84.66666667,247,40,40,7874.015748,153,91.8,55.86770087,3121.2,114.75,51.0,153.0,40,102,-1,-1
32,51732,194,0,0,0.0,0.0,0.0,0.0,15463.91753,97.0,190,64,32,5154.639175,0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,122,65535
33,51593,21,6,6,6.0,0.0,6.0,571428.5714,95238.09524,21.0,21,20,20,47619.04762,6,6.0,0.0,0.0,9.0,6.0,6.0,20,6,237,256
34,443,1,0,0,0.0,0.0,0.0,0.0,2000000.0,1.0,1,40,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,-1
35,53,245,68,34,34.0,0.0,290.0,2644897.959,16326.53061,81.66666667,239,40,40,8163.265306,290,136.4,140.2169747,19660.8,170.5,34.0,290.0,40,68,-1,-1
36,50814,49,31,31,15.5,21.92031022,0.0,632653.0612,40816.32653,49.0,49,64,0,0.0,31,20.66666667,17.89785834,320.3333333,31.0,15.5,0.0,64,31,63,-1
37,53,185,70,35,35.0,0.0,125.0,1729729.73,21621.62162,61.66666667,133,88,88,10810.81081,125,71.0,49.29503018,2430.0,88.75,35.0,125.0,88,70,-1,-1
38,22,11223934,2008,640,95.61904762,140.0451628,85.78125,423.4700596,4.722052001,215844.8846,2114854,680,1032,2.851050265,976,88.01851852,189.5902723,35944.47135,89.67924528,95.61904762,85.78125,680,2008,29200,247
39,53,268,82,41,41.0,0.0,127.0,1253731.343,14925.37313,89.33333333,218,64,64,7462.686567,127,75.4,47.10413995,2218.8,94.25,41.0,127.0,64,82,-1,-1
40,22,11310987,2008,640,95.61904762,140.0451628,85.78125,420.2108976,4.685709567,217518.9808,2479014,680,1032,2.829107663,976,88.01851852,189.5902723,35944.47135,89.67924528,95.61904762,85.78125,680,2008,29200,247
41,53,50881,96,48,48.0,0.0,90.0,5424.42169,78.6148071,16960.33333,50877,64,64,39.30740355,90,64.8,23.00434742,529.2,81.0,48.0,90.0,64,96,-1,-1
42,443,131151,517,517,129.25,258.5,0.0,3942.021029,38.12399448,32787.75,55496,92,24,7.624798896,517,86.16666667,211.0643662,44548.16667,103.4,129.25,0.0,92,517,8192,26580
43,21,4,14,14,7.0,9.899494937,0.0,3500000.0,500000.0,4.0,4,64,0,0.0,14,9.333333333,8.082903769,65.33333333,14.0,7.0,0.0,64,14,229,-1
44,50121,69,0,0,0.0,0.0,0.0,0.0,28985.50725,69.0,69,32,32,14492.75362,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,349,65535
45,22,10624586,2008,640,105.6842105,143.7671932,88.5483871,447.3586077,4.706065723,216828.2857,2071791,616,1000,2.917760749,976,93.19607843,193.9302988,37608.96078,95.06,105.6842105,88.5483871,616,2008,29200,247
46,8080,63825,207,195,51.75,95.54187564,44.66666667,5342.734038,109.6748923,10637.5,61677,92,72,47.00352526,195,42.625,75.57576615,5711.696429,48.71428571,51.75,44.66666667,92,207,8192,237
47,21,8249897,103,21,11.44444444,9.015418891,12.53333333,35.27316765,2.909127229,358691.1739,2891642,296,488,1.818204518,34,11.64,12.51958466,156.74,12.125,11.44444444,12.53333333,296,103,29200,227
48,21,190,14,14,7.0,9.899494937,0.0,73684.21053,21052.63158,63.33333333,122,64,40,10526.31579,14,5.6,7.668115805,58.8,7.0,7.0,0.0,64,14,229,0
49,22,183,0,0,0.0,0.0,0.0,0.0,10928.96175,183.0,183,32,32,5464.480874,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,290,243
50,59854,116,0,0,0.0,0.0,0.0,0.0,17241.37931,116.0,116,32,32,8620.689655,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,494,32832
51,21,9953601,110,27,12.22222222,10.08436634,12.53333333,29.93891357,2.41118767,432765.2609,3423091,296,488,1.506992294,34,11.92,12.78970941,163.5766667,12.41666667,12.22222222,12.53333333,296,110,29200,227
52,21,7992335,105,26,11.66666667,9.591663047,12.53333333,36.66012498,3.002877132,347492.8261,2810937,296,488,1.876798207,34,11.72,12.66070035,160.2933333,12.20833333,11.66666667,12.53333333,296,105,29200,227
53,22,13400213,2008,640,95.61904762,140.0451628,85.78125,354.6958545,3.955161011,257696.4038,2631180,680,1032,2.388021743,976,88.01851852,189.5902723,35944.47135,89.67924528,95.61904762,85.78125,680,2008,29200,247
54,22,11471927,2008,640,95.61904762,140.0451628,85.78125,414.3157466,4.61997361,220613.9808,2198922,680,1032,2.789418029,976,88.01851852,189.5902723,35944.47135,89.67924528,95.61904762,85.78125,680,2008,29200,247
55,21,4,14,14,7.0,9.899494937,0.0,3500000.0,500000.0,4.0,4,64,0,0.0,14,9.333333333,8.082903769,65.33333333,14.0,7.0,0.0,64,14,229,-1
56,22,13371382,2008,640,95.61904762,140.0451628,88.5483871,355.4606397,3.888902434,262183.9608,2480591,680,1000,2.318384143,976,89.67924528,191.0076291,36483.91437,91.40384615,95.61904762,88.5483871,680,2008,29200,247
57,21,258,14,14,7.0,9.899494937,0.0,54263.56589,11627.90698,129.0,188,64,20,3875.968992,14,7.0,8.082903769,65.33333333,9.333333333,7.0,0.0,64,14,229,0
58,22,69,0,0,0.0,0.0,0.0,0.0,28985.50725,69.0,69,32,32,14492.75362,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,259,247
59,21,8850572,103,23,11.44444444,9.098229376,12.53333333,32.87923086,2.711689143,384807.4783,3271767,296,488,1.694805714,34,11.64,12.53953747,157.24,12.125,11.44444444,12.53333333,296,103,29200,227
60,22,79,0,0,0.0,0.0,0.0,0.0,25316.4557,79.0,79,32,32,12658.22785,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,259,247
61,21,246,14,14,7.0,9.899494937,0.0,56910.56911,12195.12195,123.0,166,64,20,4065.04065,14,7.0,8.082903769,65.33333333,9.333333333,7.0,0.0,64,14,229,0
62,443,122659,504,198,72.0,92.36882591,391.3,36010.40282,138.5956187,7666.1875,29051,152,212,81.52683456,1410,245.3888889,453.9455965,206066.6046,259.8235294,72.0,391.3,152,504,8192,119
63,443,114869944,5021,2580,334.7333333,883.7495174,52.66666667,50.58764545,0.261164922,3961032.552,10000000,480,480,0.130582461,2580,187.4516129,628.1626561,394588.3226,193.7,334.7333333,52.66666667,480,5021,383,541
64,53,66082,45,45,45.0,0.0,100.0,2194.243516,30.2654278,66082.0,66082,20,32,15.1327139,100,63.33333333,31.75426481,1008.333333,95.0,45.0,100.0,20,45,-1,-1
65,21,8865292,111,24,12.33333333,10.04987562,12.53333333,33.72703347,2.707186633,385447.4783,2987657,296,488,1.691991646,34,11.96,12.78175783,163.3733333,12.45833333,12.33333333,12.53333333,296,111,29200,227
